,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7983,Cabela's Legendary Adventures,Wii,2008,Sports,Activision,170000,0,0,10000,180000
7984,F1 Challenge,SAT,1994,Racing,Sega,0,0,180000,0,180000
7985,Transformers: Dark of the Moon,Wii,2011,Action,Activision,100000,70000,0,20000,180000
7986,Shadow Madness,PS,1999,Action,Crave Entertainment,100000,70000,0,10000,180000
7987,Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,50000,100000,0,30000,180000
7988,Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,130000,50000,0,0,180000
7989,Aliens: Infestation,DS,2011,Action,Sega,100000,60000,0,20000,180000
7990,Brink,PC,2011,Shooter,Bethesda Softworks,60000,90000,0,30000,180000
7991,The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,130000,50000,0,0,180000
7992,American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,90000,70000,0,20000,180000
7993,Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,110000,40000,20000,10000,180000
7994,FIFA 16,PC,2015,Sports,Electronic Arts,40000,130000,0,10000,180000
7995,Silent Hill 4: The Room,XB,2004,Action,Konami Digital Entertainment,140000,40000,0,10000,180000
7996,Heavy Fire: Afghanistan,PS3,2011,Shooter,Unknown,170000,0,0,10000,180000
7997,Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,90000,70000,0,20000,180000
7998,Doom (2016),PC,2016,Shooter,Bethesda Softworks,60000,100000,0,10000,180000
7999,Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive,170000,0,0,10000,180000
8000,Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,50000,20000,100000,10000,180000
8001,Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision,80000,80000,0,20000,180000
8002,FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,140000,40000,0,0,180000
8003,Godzilla (2015),PS4,2014,Action,Namco Bandai Games,100000,30000,20000,30000,180000
8004,Race Pro,X360,2009,Racing,Atari,60000,90000,0,20000,180000
8005,Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,100000,70000,0,10000,180000
8006,Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0,0,180000,0,180000
8007,Fireblade,PS2,2002,Action,Midway Games,90000,70000,0,20000,180000
8008,Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,160000,0,0,10000,180000
8009,Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,140000,40000,0,0,180000
8010,WordJong Party,Wii,2008,Puzzle,Destineer,170000,0,0,10000,180000
8011,Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,100000,70000,0,10000,180000
8012,Cabela's Dangerous Hunts 2009,PS2,2008,Sports,Activision Value,90000,70000,0,20000,180000
8013,Velvet Assassin,X360,2009,Shooter,DTP Entertainment,140000,20000,10000,10000,180000
8014,Ball Breakers,PS,2000,Action,Take-Two Interactive,100000,70000,0,10000,180000
8015,Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games,0,0,180000,0,180000
8016,EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,90000,70000,0,20000,180000
8017,Disgaea 4: A Promise Unforgotten,PSV,2014,Role-Playing,Nippon Ichi Software,40000,40000,80000,20000,180000
8018,Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,140000,40000,0,0,180000
8019,Armored Core: Last Raven,PS2,2005,Simulation,505 Games,50000,40000,80000,10000,180000
8020,Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,90000,40000,0,50000,180000
8021,All Grown Up! Express Yourself,GBA,2004,Misc,THQ,130000,50000,0,0,180000
8022,College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,160000,0,0,10000,180000
8023,K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,40000,30000,100000,10000,180000
8024,Skate it,DS,2008,Sports,Electronic Arts,140000,20000,0,10000,180000
8025,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0,0,180000,0,180000
8026,Super Robot Taisen A Portable,PSP,2008,Strategy,Namco Bandai Games,0,0,180000,0,180000
8027,Juiced,XB,2005,Racing,THQ,130000,40000,0,10000,180000
8028,Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,130000,50000,0,0,180000
8029,Virtua Tennis,GBA,2002,Sports,Atari,130000,50000,0,0,180000
8030,Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games,0,0,180000,0,180000
8031,SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0,0,180000,0,180000
8032,Biohazard: Revival Selection,PS3,2011,Action,Capcom,0,0,180000,0,180000
8033,Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega,90000,70000,0,20000,180000
8034,Driver: San Francisco,Wii,2011,Racing,Ubisoft,60000,90000,0,20000,180000
8035,UFC: Sudden Impact,PS2,2004,Fighting,Global Star,90000,70000,0,20000,180000
8036,Shawn Johnson Gymnastics,Wii,2010,Sports,Zoo Games,170000,0,0,10000,180000
8037,NBA Hoopz,PS2,2001,Sports,Midway Games,90000,70000,0,20000,180000
8038,Captain America: Super Soldier,X360,2011,Action,Sega,110000,50000,0,10000,180000
8039,TRON: Evolution,DS,2010,Action,Disney Interactive Studios,120000,40000,0,10000,180000
8040,Pac-Man World 3,DS,2005,Platform,Namco Bandai Games,160000,0,0,10000,180000
8041,ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment,130000,50000,0,0,180000
8042,Nancy Drew: The Hidden Staircase,DS,2008,Adventure,THQ,160000,0,0,10000,180000
8043,Brunswick Cosmic Bowling,Wii,2010,Sports,GameMill Entertainment,170000,0,0,10000,180000
8044,Star Wars: Battlefront II,PC,2005,Shooter,LucasArts,20000,130000,0,30000,180000
8045,Speedball 2100,PS,2000,Sports,Empire Interactive,100000,70000,0,10000,180000
8046,LEGO Island 2: The Brickster's Revenge,PS,2001,Adventure,LEGO Media,100000,70000,0,10000,180000
8047,College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,160000,0,0,10000,180000
8048,FIFA 17,X360,2016,Sports,Electronic Arts,30000,130000,0,10000,180000
8049,Fancy Nancy: Tea Party Time!,DS,2010,Adventure,THQ,170000,0,0,10000,180000
8050,Backyard Basketball,GBA,2004,Sports,Atari,130000,50000,0,0,180000
8051,Madden NFL 09,XB,2008,Sports,Electronic Arts,130000,40000,0,10000,180000
8052,Scooby-Doo! Unmasked,GBA,2005,Platform,THQ,130000,50000,0,0,180000
8053,Summon Night 4,PS2,2006,Role-Playing,Banpresto,0,0,180000,0,180000
8054,Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0,0,180000,0,180000
8055,NHL 2004,XB,2003,Sports,Electronic Arts,130000,40000,0,10000,180000
8056,Namco Museum: 50th Anniversary,XB,2005,Misc,Namco Bandai Games,130000,40000,0,10000,180000
8057,You Don't Know Jack,PS3,2011,Misc,THQ,160000,0,0,10000,180000
8058,Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010,Action,THQ,120000,30000,0,20000,180000
8059,NFL 2K2,XB,2002,Sports,Sega,130000,40000,0,10000,180000
8060,My French Coach,DS,2007,Misc,Ubisoft,150000,20000,0,10000,180000
8061,Camp Rock: The Final Jam,DS,2010,Misc,Disney Interactive Studios,140000,20000,0,10000,180000
8062,Castlevania Judgment,Wii,2008,Fighting,Konami Digital Entertainment,130000,20000,10000,10000,180000
8063,Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,70000,20000,70000,20000,170000
8064,The Suffering: Ties That Bind,PS2,2005,Action,Midway Games,90000,70000,0,20000,170000
8065,Disney Sing It: Family Hits,PS3,2010,Misc,Disney Interactive Studios,110000,40000,0,20000,170000
8066,Ashes Cricket 2009,PS3,2009,Sports,Codemasters,0,160000,0,20000,170000
8067,EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment,90000,70000,0,20000,170000
8068,Petz: Horseshoe Ranch,DS,2009,Adventure,Ubisoft,160000,0,0,10000,170000
8069,Army Men: Sarge's Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment,90000,70000,0,20000,170000
8070,Stormrise,PS3,2009,Strategy,Sega,130000,20000,0,20000,170000
8071,Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013,Misc,Konami Digital Entertainment,0,80000,80000,10000,170000
8072,Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Sports,Konami Digital Entertainment,0,0,170000,0,170000
8073,Green Lantern: Rise of the Manhunters,PS3,2011,Action,Warner Bros. Interactive Entertainment,90000,50000,0,30000,170000
8074,Monkey Island: Special Edition Collection,PC,2011,Adventure,LucasArts,0,140000,0,40000,170000
8075,Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,Adventure,Ubisoft,70000,90000,0,20000,170000
8076,The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive,100000,70000,0,10000,170000
8077,MotoGP 10/11,PS3,2011,Racing,Capcom,40000,100000,0,40000,170000
8078,Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0,0,170000,0,170000
8079,SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,90000,70000,0,20000,170000
8080,Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,Idea Factory International,70000,20000,60000,30000,170000
8081,Sports Illustrated for Kids: Baseball,GBA,2001,Sports,BAM! Entertainment,120000,50000,0,0,170000
8082,Fairytale Fights,PS3,2009,Action,Playlogic Game Factory,110000,40000,0,20000,170000
8083,Mark Davis Pro Bass Challenge,PS2,2002,Sports,Natsume,90000,70000,0,20000,170000
8084,Rugrats: Royal Ransom,GC,2002,Platform,THQ,130000,30000,0,0,170000
8085,Warriors of Might and Magic,PS2,2001,Adventure,3DO,90000,70000,0,20000,170000
8086,Open Season,GC,2006,Platform,Ubisoft,130000,30000,0,0,170000
8087,The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios,140000,20000,0,20000,170000
8088,Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,100000,40000,0,30000,170000
8089,Project Spark,XOne,2014,Misc,Microsoft Game Studios,110000,50000,0,20000,170000
8090,Backyard Sports Football: Rookie Rush,DS,2010,Sports,Atari,160000,0,0,10000,170000
8091,Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment,100000,70000,0,10000,170000
8092,Lost in Blue 3,DS,2007,Adventure,Konami Digital Entertainment,90000,20000,60000,10000,170000
8093,World Championship Poker,GBA,2004,Misc,Crave Entertainment,120000,50000,0,0,170000
8094,Global Defence Force,PS2,2005,Shooter,Essential Games,0,0,170000,0,170000
8095,Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision,160000,0,0,10000,170000
8096,Major League Baseball 2K6,GC,2006,Sports,Take-Two Interactive,130000,30000,0,0,170000
8097,Major League Baseball 2K9,PS3,2009,Sports,Spike,160000,0,0,10000,170000
8098,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix,0,0,170000,0,170000
8099,Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,80000,70000,0,20000,170000
8100,The Cursed Crusade,PS3,2011,Action,DTP Entertainment,70000,70000,10000,30000,170000
8101,Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games,0,0,170000,0,170000
8102,The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games,130000,30000,0,0,170000
8103,NBA Inside Drive 2004,XB,2003,Sports,Microsoft Game Studios,130000,40000,0,10000,170000
8104,The King of Fighters '97,PS,1998,Fighting,SNK,0,0,160000,10000,170000
8105,Dungeon Siege III,PC,2011,Role-Playing,Square Enix,80000,80000,0,20000,170000
8106,Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,Activision,160000,0,0,10000,170000
8107,Time Commando,PS,1996,Action,Adeline Software,100000,70000,0,10000,170000
8108,Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games,160000,0,0,10000,170000
8109,Iron Chef America: Supreme Cuisine,Wii,2008,Simulation,Destineer,160000,0,0,10000,170000
8110,Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games,0,0,170000,0,170000
8111,Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,80000,70000,0,20000,170000
8112,FaceBreaker,PS3,2008,Fighting,Electronic Arts,130000,30000,0,20000,170000
8113,Squeeballs Party,DS,2009,Puzzle,Performance Designed Products,160000,0,0,10000,170000
8114,NCAA Football 09 All-Play,Wii,2008,Sports,Electronic Arts,160000,0,0,10000,170000
8115,Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,170000,0,170000
8116,The Hobbit,GC,2003,Platform,Vivendi Games,130000,30000,0,0,170000
8117,The Secret World,PC,2012,Role-Playing,Funcom,70000,80000,0,20000,170000
8118,NHL 2K9,X360,2008,Sports,Take-Two Interactive,150000,10000,0,10000,170000
8119,X-Men: The Official Game,X360,2006,Action,Activision,160000,10000,0,10000,170000
8120,True Crime: New York City,GC,2005,Action,Activision,130000,30000,0,0,170000
8121,Metal Arms: Glitch in the System,XB,2003,Shooter,Vivendi Games,130000,40000,0,10000,170000
8122,PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,80000,60000,0,30000,170000
8123,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,Action,Namco Bandai Games,0,0,170000,0,170000
8124,Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision,80000,70000,0,20000,170000
8125,ESPN Final Round Golf 2002,GBA,2001,Sports,Konami Digital Entertainment,120000,50000,0,0,170000
8126,MDK2 Armageddon,PS2,2001,Shooter,Virgin Interactive,80000,70000,0,20000,170000
8127,Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,130000,40000,0,10000,170000
8128,Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,80000,70000,0,20000,170000
8129,Fight Night Round 2,GC,2005,Fighting,Electronic Arts,130000,30000,0,0,170000
8130,Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,130000,30000,0,10000,170000
8131,Disney's Atlantis: The Lost Empire,PS,2001,Platform,Sony Computer Entertainment,100000,70000,0,10000,170000
8132,Power Pro Kun Pocket,GB,1999,Sports,Konami Digital Entertainment,0,0,170000,0,170000
8133,The King of Fighters '97,SAT,1998,Fighting,SNK,0,0,170000,0,170000
8134,Tamagotchi no Narikiri Challenge,DS,2010,Action,Namco Bandai Games,0,0,170000,0,170000
8135,Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,160000,0,0,10000,170000
8136,One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,60000,40000,40000,30000,170000
8137,Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,160000,10000,170000
8138,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,Adventure,ChunSoft,0,0,160000,10000,170000
8139,Dementium: The Ward,DS,2007,Shooter,SouthPeak Games,150000,10000,0,10000,170000
8140,Psi-Ops: The Mindgate Conspiracy,XB,2004,Shooter,Midway Games,130000,40000,0,10000,170000
8141,SWAT: Global Strike Team,XB,2003,Shooter,Vivendi Games,130000,40000,0,10000,170000
8142,Despicable Me: The Game,PSP,2010,Platform,D3Publisher,50000,80000,0,40000,170000
8143,MX World Tour Featuring Jamie Little,PS2,2005,Racing,Play It,80000,70000,0,20000,170000
8144,Goblin Commander: Unleash the Horde,PS2,2003,Strategy,Jaleco,80000,70000,0,20000,170000
8145,Hello Kitty: Happy Party Pals,GBA,2005,Misc,THQ,120000,50000,0,0,170000
8146,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,160000,0,0,10000,170000
8147,Backyard NFL Football '09,PS2,2008,Sports,Atari,80000,70000,0,20000,170000
8148,World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,80000,70000,0,20000,170000
8149,Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver,30000,0,140000,0,170000
8150,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,10000,120000,0,30000,170000
8151,Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,120000,40000,0,10000,170000
8152,Backyard Baseball '10,PS2,2009,Sports,Atari,80000,70000,0,20000,170000
8153,Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0,0,160000,10000,170000
8154,The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment,100000,40000,0,20000,170000
8155,Top Spin 2,X360,2006,Sports,Take-Two Interactive,150000,10000,0,10000,170000
8156,N3 II: Ninety-Nine Nights,X360,2010,Action,Microsoft Game Studios,60000,70000,40000,10000,170000
8157,The King of Fighters '95,PS,1996,Fighting,Sony Computer Entertainment,0,0,160000,10000,170000
8158,RoadKill,PS2,2003,Action,Midway Games,80000,70000,0,20000,170000
8159,Hanjuku Eiyuu Tai 3D,PS2,2003,Role-Playing,Square Enix,0,0,170000,0,170000
8160,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,170000,0,170000
8161,Chuck E. Cheese's Party Games,Wii,2010,Misc,UFO Interactive,160000,0,0,10000,170000
8162,Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,0,0,170000,0,170000
8163,Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,130000,30000,0,0,170000
8164,Tak: The Great Juju Challenge,GBA,2005,Platform,THQ,120000,50000,0,0,170000
8165,Macross Ultimate Frontier,PSP,2009,Action,Namco Bandai Games,0,0,170000,0,170000
8166,Cabela's Legendary Adventures,PSP,2008,Sports,Activision,160000,0,0,10000,170000
8167,Jillian Michaels Fitness Ultimatum 2011,Wii,2010,Sports,D3Publisher,160000,0,0,10000,170000
8168,Pursuit Force: Extreme Justice,PSP,2007,Action,Sony Computer Entertainment,70000,70000,0,30000,170000
8169,Hunter: The Reckoning Redeemer,XB,2003,Action,Interplay,130000,40000,0,10000,170000
8170,The Rise of the Argonauts,X360,2008,Role-Playing,Codemasters,30000,120000,0,10000,170000
8171,NHL 07,PSP,2006,Sports,Electronic Arts,130000,20000,0,20000,170000
8172,Pro Evolution Soccer 2014,PSP,2013,Action,Konami Digital Entertainment,0,30000,140000,0,170000
8173,Tokyo Xtreme Racer,DC,1999,Racing,Genki,0,0,170000,0,170000
8174,Fighter Maker,PS,1998,Fighting,Agetec,50000,40000,70000,10000,170000
8175,Bee Movie Game,X360,2007,Action,Activision,160000,0,0,10000,170000
8176,Backyard NFL Football '10,Wii,2009,Sports,Atari,160000,0,0,10000,170000
8177,Professor Heinz Wolff's Gravity,Wii,2008,Puzzle,Deep Silver,40000,120000,0,20000,170000
8178,Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,130000,40000,0,10000,170000
8179,Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment,0,150000,0,20000,170000
8180,NBA 09: The Inside,PSP,2008,Sports,Sony Computer Entertainment,160000,0,0,10000,170000
8181,Transformers: Prime,3DS,2012,Action,Activision,130000,30000,0,10000,170000
8182,Batman Begins,GBA,2005,Action,Electronic Arts,120000,50000,0,0,170000
8183,Transformer: Rise of the Dark Spark,X360,2014,Action,Activision,90000,70000,0,20000,170000
8184,Glover,PS,1999,Platform,Atari,90000,60000,0,10000,170000
8185,Luxor 3,Wii,2008,Puzzle,Mumbo Jumbo,160000,0,0,10000,170000
8186,Bratz Kidz,Wii,2008,Misc,Game Factory,160000,0,0,10000,170000
8187,Fairytale Fights,X360,2009,Action,Playlogic Game Factory,140000,20000,0,10000,170000
8188,MotoGP 09/10,X360,2010,Racing,Capcom,70000,90000,0,20000,170000
8189,Mahjong Fight Club,PSP,2004,Misc,Konami Digital Entertainment,0,0,170000,0,170000
8190,World Driver Championship,N64,1999,Racing,Midway Games,140000,30000,0,0,170000
8191,Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,50000,10000,110000,0,170000
8192,Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,120000,50000,0,0,170000
8193,Spawn: Armageddon,XB,2003,Action,Electronic Arts,130000,40000,0,10000,170000
8194,Zoo Hospital,Wii,2008,Simulation,Majesco Entertainment,140000,10000,0,10000,170000
8195,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Misc,Nintendo,120000,50000,0,0,170000
8196,Time and Eternity,PS3,2012,Role-Playing,Nippon Ichi Software,60000,30000,60000,20000,170000
8197,Major League Baseball 2K9,PS2,2009,Sports,Spike,80000,60000,0,20000,170000
8198,Gundam Assault Survive,PSP,2010,Action,Namco Bandai Games,0,0,170000,0,170000
8199,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Misc,Disney Interactive Studios,80000,60000,0,20000,170000
8200,Fate/Stay Night [Réalta Nua],PS2,2007,Adventure,Kadokawa Shoten,0,0,170000,0,170000
8201,Disney's Home on the Range,GBA,2004,Action,Disney Interactive Studios,120000,40000,0,0,170000
8202,Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,20000,120000,0,30000,170000
8203,Jikkyou Powerful Pro Yakyuu 2013,PSP,2013,Sports,Konami Digital Entertainment,0,0,170000,0,170000
8204,Space Griffon VF-9,PS,1995,Role-Playing,Panther Software,20000,20000,120000,10000,170000
8205,Family Feud Decades,Wii,2010,Misc,Ubisoft,160000,0,0,10000,170000
8206,NBA Live 16,PS4,2015,Sports,Electronic Arts,100000,40000,0,30000,170000
8207,CSI: Fatal Conspiracy,X360,2010,Adventure,Ubisoft,110000,40000,0,10000,170000
8208,Solitaire Overload Plus,DS,2010,Misc,Telegames,160000,0,0,10000,170000
8209,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,170000,0,170000
8210,Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,160000,0,170000
8211,Tak: Mojo Mistake,DS,2008,Action,THQ,160000,0,0,10000,170000
8212,Gallop Racer 2001,PS2,2001,Sports,Tecmo Koei,50000,40000,60000,10000,170000
8213,Nightmare Creatures II,PS,2000,Action,Konami Digital Entertainment,90000,60000,0,10000,170000
8214,Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,100000,60000,0,20000,170000
8215,Fuzion Frenzy 2,X360,2007,Misc,Microsoft Game Studios,140000,10000,0,10000,170000
8216,Catwoman,PS2,2004,Action,Electronic Arts,80000,60000,0,20000,170000
8217,Monsters vs. Aliens,X360,2009,Action,Activision,120000,30000,0,10000,170000
8218,Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,160000,0,0,10000,170000
8219,Garfield: Lasagna World Tour,PS2,2007,Action,Blast! Entertainment Ltd,80000,60000,0,20000,170000
8220,Disney's Planes,Wii,2013,Simulation,Disney Interactive Studios,80000,70000,0,20000,170000
8221,Bomberman Land,Wii,2007,Misc,Rising Star Games,110000,20000,30000,10000,170000
8222,Bomberman B-Daman,SNES,1996,Shooter,Hudson Soft,0,0,170000,0,170000
8223,Terminator 3: The Redemption,PS2,2004,Shooter,Atari,80000,60000,0,20000,170000
8224,World Destruction League: Thunder Tanks,PS,2000,Action,3DO,90000,60000,0,10000,170000
8225,Beat Down: Fists of Vengeance,PS2,2005,Action,Capcom,40000,30000,90000,10000,170000
8226,Reloaded,PS,1996,Action,Gremlin Interactive Ltd,90000,60000,0,10000,170000
8227,MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,120000,30000,20000,170000
8228,SSX On Tour,GC,2005,Sports,Electronic Arts,130000,30000,0,0,170000
8229,Hot Wheels: Beat That!,X360,2007,Racing,Activision,150000,0,0,10000,170000
8230,G-Force,X360,2009,Action,Disney Interactive Studios,110000,50000,0,10000,170000
8231,James Bond 007: Everything or Nothing,GBA,2003,Shooter,Electronic Arts,120000,40000,0,0,170000
8232,Naruto Shippuden: Ultimate Ninja 5,PS2,2007,Fighting,Namco Bandai Games,0,0,170000,0,170000
8233,Shrek Extra Large,GC,2002,Platform,TDK Mediactive,130000,30000,0,0,170000
8234,Final Fantasy V,PS,1998,Role-Playing,SquareSoft,0,0,160000,10000,170000
8235,World Tour Soccer 2006,PS2,2004,Sports,Sony Computer Entertainment,80000,60000,0,20000,170000
8236,Gunvalkyrie,XB,2002,Shooter,Infogrames,130000,40000,0,10000,170000
8237,NickToons: Racing,PS,2001,Racing,Hasbro Interactive,90000,60000,0,10000,170000
8238,VR Golf '97,PS,1996,Sports,Gremlin Interactive Ltd,90000,60000,0,10000,170000
8239,Michael Jackson: The Experience 3D,3DS,2011,Misc,Ubisoft,130000,30000,0,10000,170000
8240,State of Emergency,XB,2003,Action,Take-Two Interactive,130000,40000,0,10000,170000
8241,Digimon Story: Cyber Sleuth,PSV,2015,Role-Playing,Namco Bandai Games,0,0,170000,0,170000
8242,Off-World Interceptor Extreme,PS,1995,Racing,Crystal Dynamics,90000,60000,0,10000,170000
8243,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010,Action,Activision,150000,10000,0,10000,170000
8244,Disney Golf,PS2,2002,Sports,Electronic Arts,70000,60000,20000,20000,170000
8245,The Naked Brothers Band: The Video Game,PS2,2008,Misc,THQ,80000,60000,0,20000,170000
8246,Custom Robo Arena,DS,2006,Fighting,Nintendo,20000,20000,120000,0,170000
8247,Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,20000,10000,120000,10000,170000
8248,Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,90000,60000,0,10000,170000
8249,Surf's Up,Wii,2007,Sports,Ubisoft,150000,0,0,10000,170000
8250,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,170000,0,170000
8251,Mega Man Network Transmission,GC,2003,Platform,Capcom,130000,30000,0,0,170000
8252,I'm A Celebrity: Get Me Out of Here!,Wii,2009,Misc,Mindscape,0,160000,0,10000,170000
8253,Pursuit Force,PSP,2005,Racing,Sony Computer Entertainment,140000,10000,0,20000,170000
8254,Densetsu no Stafi 4,DS,2006,Platform,Nintendo,0,0,170000,0,170000
8255,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,0,0,170000,0,170000
8256,Naval Assault: The Killing Tide,X360,2010,Simulation,505 Games,80000,70000,0,20000,170000
8257,Tokimeki Memorial: Private Collection,PS,1996,Misc,Konami Digital Entertainment,0,0,160000,10000,170000
8258,RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,80000,60000,0,20000,170000
8259,Valkyria Chronicles,PS4,2016,Role-Playing,Sega,60000,40000,50000,20000,170000
8260,Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,130000,20000,0,20000,170000
8261,Backyard Wrestling: Don't Try This at Home,XB,2003,Fighting,Eidos Interactive,130000,40000,0,10000,170000
8262,Zoo Keeper,DS,2004,Puzzle,Ignition Entertainment,100000,10000,50000,10000,170000
8263,Gauntlet: Dark Legacy,XB,2002,Action,Midway Games,130000,40000,0,10000,170000
8264,Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,50000,70000,20000,20000,170000
8265,Far East of Eden II: Manji Maru,PS2,2003,Role-Playing,Hudson Soft,0,0,170000,0,170000
8266,Lost Kingdoms,GC,2002,Role-Playing,Activision,100000,20000,40000,0,170000
